Marca,Modelo,Quilometragem,Cor,Cambio,Combustivel,Portas,Valor_Venda,Idade_Veiculo,Km_por_Ano
Chevrolet,Onix Plus,139895.0,Branco,Manual,Gasolina,4,27848.0,24,5595.8
Chevrolet,Onix Plus,290.0,Branco,Manual,Flex,4,80229.0,7,36.25
Chevrolet,Onix Plus,52996.0,Prata,Automático,Flex,4,47399.8,18,2789.2631578947367
Chevrolet,Onix Plus,30006.0,Azul,Automático,Flex,2,48238.8,23,1250.25
Chevrolet,Tracker,40963.0,Branco,Automático,Flex,4,59061.4,12,3151.0
Chevrolet,Onix Plus,82753.0,Prata,Automático,Gasolina,2,64128.4,5,13792.166666666666
Chevrolet,Tracker,5335.0,Preto,Manual,Flex,2,61976.0,16,313.8235294117647
Chevrolet,Onix Plus,97074.0,Azul,Manual,Diesel,2,48228.2,12,7467.2307692307695
Chevrolet,Onix,198301.0,Azul,Automático,Diesel,4,16784.800000000003,21,9013.681818181818
Chevrolet,Tracker,27020.0,Azul,Automático,Gasolina,4,53107.0,23,1125.8333333333333
Chevrolet,Onix,76604.0,Azul,Manual,Gasolina,4,66994.2,2,25534.666666666668
Chevrolet,Tracker,108707.0,Preto,Automático,Gasolina,2,51957.600000000006,10,9882.454545454546
Chevrolet,Onix,68460.0,Cinza,Manual,Flex,4,53106.0,18,3603.157894736842
Chevrolet,Tracker,39651.0,Prata,Automático,Flex,4,51551.8,18,2086.8947368421054
Chevrolet,Onix,8000.0,Branco,Automático,Diesel,2,53341.0,22,347.82608695652175
Chevrolet,Onix,84164.0,Azul,Automático,Flex,4,50373.2,13,6011.714285714285
Chevrolet,S10,171654.0,Preto,Manual,Flex,4,17939.199999999997,24,6866.16
Chevrolet,Onix Plus,68125.0,Branco,Automático,Flex,4,72475.0,3,17031.25
Chevrolet,Onix,17021.0,Cinza,Manual,Diesel,2,54419.8,20,810.5238095238095
Chevrolet,Tracker,189036.0,Cinza,Manual,Diesel,2,19547.800000000003,22,8218.95652173913
Chevrolet,Tracker,48215.0,Vermelho,Manual,Gasolina,4,71048.0,8,5357.222222222223
Chevrolet,Onix,138675.0,Azul,Manual,Flex,2,21794.0,24,5547.0
Chevrolet,Tracker,39279.0,Branco,Manual,Gasolina,4,75865.2,3,9819.75
Chevrolet,Onix Plus,65200.0,Azul,Manual,Gasolina,4,73280.0,5,10866.666666666666
Chevrolet,Onix Plus,143867.0,Branco,Manual,Gasolina,4,56830.600000000006,3,35966.75
Chevrolet,Onix,192585.0,Vermelho,Automático,Flex,2,14637.0,22,8373.260869565218
Chevrolet,Tracker,118222.0,Cinza,Automático,Diesel,2,42808.600000000006,13,8444.42857142857
Chevrolet,S10,162584.0,Cinza,Automático,Flex,4,21025.2,22,7068.869565217391
Chevrolet,Tracker,62485.0,Cinza,Automático,Flex,2,63819.0,12,4806.538461538462
Chevrolet,Tracker,162377.0,Cinza,Automático,Diesel,4,22569.6,20,7732.238095238095
Chevrolet,Onix,81377.0,Vermelho,Manual,Diesel,2,44567.6,20,3875.095238095238
Chevrolet,Onix,159692.0,Azul,Automático,Diesel,2,26671.6,23,6653.833333333333
Chevrolet,S10,56875.0,Branco,Automático,Gasolina,4,63329.0,13,4062.5
Chevrolet,Onix,59937.0,Cinza,Automático,Gasolina,4,58454.6,10,5448.818181818182
Chevrolet,Onix Plus,66254.0,Prata,Manual,Diesel,4,62599.2,9,6625.4
Chevrolet,Onix,36763.0,Branco,Manual,Flex,2,58782.4,13,2625.9285714285716
Chevrolet,Onix,178681.0,Preto,Manual,Gasolina,2,27009.8,15,11167.5625
Chevrolet,Tracker,114187.0,Prata,Manual,Gasolina,2,37371.600000000006,19,5709.35
Chevrolet,Tracker,72178.0,Preto,Manual,Flex,2,71418.4,3,18044.5
Chevrolet,S10,111972.0,Branco,Manual,Flex,2,38787.600000000006,16,6586.588235294118
Chevrolet,Tracker,89187.0,Azul,Automático,Flex,4,59637.600000000006,9,8918.7
Chevrolet,S10,163982.0,Azul,Manual,Gasolina,4,38535.6,13,11713.0
Chevrolet,Tracker,198405.0,Prata,Automático,Gasolina,4,38849.0,6,28343.571428571428
Chevrolet,S10,167086.0,Preto,Automático,Flex,2,24246.8,23,6961.916666666667
Chevrolet,Onix,63327.0,Prata,Manual,Diesel,4,68869.6,2,21109.0
Chevrolet,S10,114587.0,Preto,Automático,Gasolina,2,37561.6,19,5729.35
Chevrolet,S10,52232.0,Azul,Manual,Gasolina,2,56747.6,16,3072.470588235294
Chevrolet,S10,34337.0,Branco,Manual,Gasolina,2,69089.6,9,3433.7
Chevrolet,Tracker,181732.0,Preto,Automático,Gasolina,4,27593.6,19,9086.6
Chevrolet,Onix Plus,165829.0,Prata,Automático,Flex,4,34475.2,17,9212.722222222223
Chevrolet,S10,77688.0,Azul,Automático,Gasolina,4,62439.4,5,12948.0
Chevrolet,Onix,162352.0,Branco,Manual,Diesel,4,36826.6,13,11596.57142857143
Chevrolet,Onix,27462.0,Preto,Automático,Flex,4,65704.6,13,1961.5714285714287
Chevrolet,Tracker,141956.0,Branco,Automático,Diesel,4,56693.8,3,35489.0
Chevrolet,Onix Plus,115092.0,Prata,Manual,Gasolina,2,56111.6,7,14386.5
Chevrolet,S10,101177.0,Branco,Manual,Flex,2,43862.6,20,4817.952380952381
Chevrolet,Tracker,113795.0,Azul,Automático,Flex,4,45345.0,14,7586.333333333333
Chevrolet,S10,84614.0,Cinza,Manual,Diesel,4,48801.2,13,6043.857142857143
Chevrolet,Tracker,188151.0,Azul,Manual,Gasolina,2,45257.8,7,23518.875
Chevrolet,Tracker,179782.0,Cinza,Automático,Gasolina,4,28532.6,16,10575.411764705883
Chevrolet,Tracker,173500.0,Vermelho,Automático,Flex,4,21241.0,20,8261.904761904761
Chevrolet,Tracker,97519.0,Prata,Automático,Gasolina,4,33037.2,24,3900.76
Chevrolet,Tracker,95957.0,Branco,Automático,Diesel,4,48027.600000000006,17,5330.944444444444
Chevrolet,Onix,6476.0,Prata,Automático,Diesel,4,74171.8,11,539.6666666666666
Chevrolet,S10,3400.0,Branco,Automático,Diesel,2,70988.0,11,283.3333333333333
Chevrolet,S10,38891.0,Vermelho,Automático,Flex,2,46287.8,22,1690.9130434782608
Chevrolet,Onix,50107.0,Cinza,Manual,Gasolina,2,65968.6,10,4555.181818181818
Chevrolet,Tracker,102044.0,Preto,Manual,Flex,4,45168.2,19,5102.2
Chevrolet,S10,111376.0,Vermelho,Manual,Gasolina,2,60761.8,4,22275.2
Chevrolet,Onix,187130.0,Preto,Manual,Diesel,4,19888.0,23,7797.083333333333
Chevrolet,Tracker,125762.0,Azul,Manual,Diesel,4,31369.6,21,5716.454545454545
Chevrolet,Tracker,109914.0,Prata,Automático,Flex,2,34150.2,24,4396.56
Chevrolet,Onix Plus,54680.0,Prata,Automático,Diesel,4,70306.0,7,6835.0
Chevrolet,Onix Plus,22736.0,Prata,Automático,Diesel,4,68061.8,14,1515.7333333333333
Chevrolet,Onix,35126.0,Preto,Manual,Gasolina,4,64966.8,14,2341.733333333333
Chevrolet,Tracker,87743.0,Preto,Automático,Flex,2,41993.4,18,4618.0526315789475
Chevrolet,Onix Plus,34432.0,Azul,Manual,Diesel,2,73067.6,8,3825.777777777778
Chevrolet,S10,83126.0,Vermelho,Manual,Diesel,4,71617.8,3,20781.5
Chevrolet,Onix Plus,79889.0,Prata,Manual,Flex,2,55566.2,10,7262.636363636364
Chevrolet,Tracker,131907.0,Vermelho,Automático,Gasolina,4,60345.6,3,32976.75
Chevrolet,Onix,166819.0,Vermelho,Manual,Gasolina,4,33145.200000000004,18,8779.947368421053
Chevrolet,Tracker,174357.0,Azul,Manual,Flex,2,30180.6,13,12454.07142857143
Chevrolet,Tracker,168417.0,Azul,Manual,Diesel,4,33723.6,13,12029.785714285714
Chevrolet,Tracker,89307.0,Prata,Automático,Gasolina,2,37659.6,24,3572.28
Chevrolet,S10,60245.0,Preto,Automático,Diesel,2,44801.0,25,2317.1153846153848
Chevrolet,S10,108153.0,Prata,Automático,Diesel,4,43003.4,19,5407.65
Chevrolet,Onix,85322.0,Azul,Automático,Diesel,2,47219.6,16,5018.941176470588
Chevrolet,Onix,144815.0,Vermelho,Automático,Flex,4,59474.0,2,48271.666666666664
Chevrolet,Tracker,126658.0,Vermelho,Automático,Diesel,2,48316.4,12,9742.923076923076
Chevrolet,Onix,43543.0,Branco,Automático,Gasolina,2,64454.4,12,3349.4615384615386
Chevrolet,S10,66436.0,Vermelho,Automático,Flex,2,44930.8,23,2768.1666666666665
Chevrolet,Onix Plus,190818.0,Vermelho,Manual,Gasolina,2,39835.4,10,17347.090909090908
Chevrolet,S10,139559.0,Vermelho,Automático,Gasolina,2,45081.2,9,13955.9
Chevrolet,Tracker,111709.0,Prata,Automático,Diesel,4,35794.2,21,5077.681818181818
Chevrolet,Onix Plus,185847.0,Cinza,Manual,Flex,4,23506.6,16,10932.176470588236
Chevrolet,Tracker,93276.0,Cinza,Automático,Gasolina,4,53094.8,12,7175.076923076923
Chevrolet,S10,175277.0,Branco,Manual,Flex,2,43412.600000000006,8,19475.222222222223
Chevrolet,Onix,25629.0,Azul,Manual,Flex,2,61154.2,16,1507.5882352941176
Chevrolet,Onix,51363.0,Azul,Automático,Flex,4,47717.4,18,2703.315789473684
Chevrolet,Tracker,19099.0,Preto,Manual,Flex,2,62270.2,18,1005.2105263157895
Chevrolet,Tracker,39550.0,Preto,Manual,Gasolina,2,67011.0,13,2825.0
Chevrolet,Onix Plus,124790.0,Vermelho,Manual,Flex,2,33860.0,23,5199.583333333333
Chevrolet,S10,96338.0,Branco,Automático,Gasolina,4,30491.4,24,3853.52
Chevrolet,S10,148133.0,Prata,Automático,Flex,4,19081.4,25,5697.423076923077
Chevrolet,Onix,65524.0,Prata,Manual,Diesel,2,58795.2,13,4680.285714285715
Chevrolet,Onix,177384.0,Cinza,Manual,Diesel,2,31775.200000000004,17,9854.666666666666
Chevrolet,Tracker,152130.0,Prata,Automático,Diesel,4,49643.0,3,38032.5
Chevrolet,Onix,136671.0,Cinza,Automático,Flex,4,41664.8,15,8541.9375
Chevrolet,Onix Plus,108469.0,Cinza,Automático,Flex,2,58467.2,6,15495.57142857143
Chevrolet,Onix Plus,124118.0,Prata,Automático,Diesel,2,59424.4,2,41372.666666666664
Chevrolet,Onix,128468.0,Preto,Automático,Gasolina,4,28157.4,21,5839.454545454545
Chevrolet,Onix,61580.0,Vermelho,Manual,Flex,4,69470.0,3,15395.0
Chevrolet,Onix Plus,16387.0,Cinza,Automático,Flex,4,70138.6,10,1489.7272727272727
Chevrolet,S10,131483.0,Cinza,Automático,Flex,2,52598.4,10,11953.0
Chevrolet,S10,15704.0,Azul,Automático,Flex,2,79790.2,4,3140.8
Chevrolet,Onix,197964.0,Prata,Manual,Flex,4,30309.2,10,17996.727272727272
Chevrolet,Onix Plus,109966.0,Branco,Automático,Diesel,4,39044.8,19,5498.3
Chevrolet,S10,61492.0,Vermelho,Manual,Diesel,4,68057.6,9,6149.2
Chevrolet,Onix,195882.0,Vermelho,Manual,Gasolina,4,44799.6,3,48970.5
Chevrolet,Tracker,192353.0,Cinza,Automático,Diesel,4,32315.4,14,12823.533333333333
Chevrolet,S10,116985.0,Prata,Manual,Diesel,2,54047.0,7,14623.125
Chevrolet,Tracker,172692.0,Azul,Manual,Diesel,4,42544.6,10,15699.272727272728
Chevrolet,Onix,143907.0,Preto,Manual,Flex,4,20636.6,25,5534.884615384615
Chevrolet,Onix,159352.0,Branco,Automático,Diesel,4,20714.6,25,6128.923076923077
Chevrolet,Tracker,113424.0,Cinza,Automático,Gasolina,4,58618.2,6,16203.42857142857
Chevrolet,Onix Plus,51080.0,Azul,Manual,Diesel,2,47743.0,24,2043.2
